City ID,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Weather Description
277,Kandi,BJ,11.1342,2.9386,84.29,14,0,1.43,clear sky
278,Lebu,CL,-37.6167,-73.65,58.98,77,100,15.66,moderate rain
279,Disna,BY,55.568,28.1971,33.84,92,100,7.63,snow
280,Tuatapere,NZ,-46.1333,167.6833,64.0,59,10,10.0,clear sky
281,Margate,GB,51.3813,1.3862,39.0,54,6,8.01,clear sky
282,Predivinsk,RU,57.0669,93.4378,35.17,91,100,4.29,overcast clouds
283,Akdepe,TM,42.0551,59.3788,50.0,65,0,9.22,clear sky
284,Ponta Do Sol,PT,32.6667,-17.1,57.0,58,6,4.0,clear sky
285,Cayenne,GF,4.9333,-52.3333,80.01,94,75,5.75,broken clouds
286,Portland,US,45.5234,-122.6762,61.0,29,1,9.22,clear sky
287,Jinka,ET,5.65,36.65,61.54,88,98,2.98,light rain
288,Comodoro Rivadavia,AR,-45.8667,-67.5,55.4,71,75,12.66,broken clouds
289,Maragogi,BR,-9.0122,-35.2225,77.58,71,6,7.27,clear sky
290,Yulara,AU,-25.2406,130.9889,78.8,29,0,13.8,clear sky
291,Guerrero Negro,MX,27.9769,-114.0611,65.23,66,0,17.67,clear sky
292,Vila Franca Do Campo,PT,37.7167,-25.4333,60.8,94,75,12.66,broken clouds
293,Arkhangelsk,RU,64.5401,40.5433,39.2,65,20,6.71,few clouds
294,Salta,AR,-24.7859,-65.4117,69.8,83,40,5.75,scattered clouds
295,Henderson,US,36.0397,-114.9819,86.0,6,1,23.02,clear sky
296,Bar Harbor,US,44.3876,-68.2039,42.8,81,90,10.36,overcast clouds
297,Iisalmi,FI,63.5592,27.1907,30.2,74,75,11.5,broken clouds
298,Marolambo,MG,-20.05,48.1167,66.52,96,3,3.06,clear sky
299,Synya,RU,65.3718,58.0387,18.01,96,41,4.85,scattered clouds
300,Tadine,NC,-21.55,167.8833,79.5,57,89,13.53,overcast clouds
301,Chipinge,ZW,-20.1883,32.6236,58.33,95,3,4.0,clear sky
302,Hasaki,JP,35.7333,140.8333,52.0,66,75,18.41,broken clouds
303,Nizwa,OM,22.9333,57.5333,73.53,27,2,1.36,clear sky
304,Shevchenko,UA,48.5,35.0,35.6,87,0,4.47,clear sky
305,Amurzet,RU,47.6967,131.0981,47.08,39,6,6.76,clear sky
306,Daan,CN,33.0558,106.2958,48.99,92,100,0.85,overcast clouds
307,Wanning,CN,18.8003,110.3967,77.63,86,42,9.17,scattered clouds
308,Mount Gambier,AU,-37.8333,140.7667,64.4,59,29,10.36,scattered clouds
309,Katobu,ID,-4.9408,122.5276,82.27,76,97,6.02,overcast clouds
310,Pedasi,PA,7.5333,-80.0333,80.55,72,97,19.39,overcast clouds
311,Ternate,ID,0.8,127.4,82.87,69,73,4.27,broken clouds
312,Pushkinskiye Gory,RU,57.0209,28.9103,31.6,96,100,5.39,snow
313,Chokurdakh,RU,70.6333,147.9167,-12.14,88,27,1.21,scattered clouds
314,Cidreira,BR,-30.1811,-50.2056,73.35,80,100,16.67,overcast clouds
315,Geraldton,AU,-28.7667,114.6,73.4,68,24,11.5,few clouds
316,Shorapur,IN,16.5167,76.75,78.64,45,10,2.26,clear sky
317,Biltine,TD,14.5333,20.9167,79.92,12,0,8.46,clear sky
318,Caravelas,BR,-17.7125,-39.2481,75.85,79,27,7.0,scattered clouds
319,Chapais,CA,49.7834,-74.8492,35.6,44,1,8.05,clear sky
320,Ancud,CL,-41.8697,-73.8203,57.0,100,90,9.22,light rain
321,Jingdezhen,CN,29.2947,117.2079,58.95,84,100,1.25,moderate rain
322,Alice Springs,AU,-23.7,133.8833,77.0,36,0,8.05,clear sky
323,Riyadh,SA,24.6877,46.7219,66.2,18,0,4.61,clear sky
324,Khor,RU,47.8861,134.9464,45.75,38,0,14.81,clear sky
325,Pinawa,CA,50.1489,-95.8811,43.84,62,22,7.49,few clouds
326,Kangalassy,RU,62.3464,129.9628,-4.0,59,0,4.47,clear sky
327,Staryy Nadym,RU,65.6118,72.6842,32.65,99,100,6.91,overcast clouds
328,Decatur,US,39.8403,-88.9548,69.8,43,1,10.36,clear sky
